date,nb_rides
2021-01-01,948
2021-01-02,2086
2021-01-03,2236
2021-01-04,2946
2021-01-05,3539
2021-01-06,3593
2021-01-07,3554
2021-01-08,3507
2021-01-09,4557
2021-01-10,3057
2021-01-11,3122
2021-01-12,3845
2021-01-13,4075
2021-01-14,3301
2021-01-15,3731
2021-01-16,2992
2021-01-17,2264
2021-01-18,3288
2021-01-19,2856
2021-01-20,2433
2021-01-21,3866
2021-01-22,2821
2021-01-23,3222
2021-01-24,2726
2021-01-25,2728
2021-01-26,1144
2021-01-27,2059
2021-01-28,2398
2021-01-29,2914
2021-01-30,1990
2021-01-31,409
2021-02-01,1640
2021-02-02,2104
2021-02-03,2449
2021-02-04,1527
2021-02-05,1177
2021-02-06,752
2021-02-07,553
2021-02-08,878
2021-02-09,1211
2021-02-10,1175
2021-02-11,1264
2021-02-12,1650
2021-02-13,672
2021-02-14,487
2021-02-15,343
2021-02-16,253
2021-02-17,557
2021-02-18,706
2021-02-19,861
2021-02-20,1000
2021-02-21,806
2021-02-22,1363
2021-02-23,2594
2021-02-24,2916
2021-02-25,2944
2021-02-26,3643
2021-02-27,6816
2021-02-28,3226
2021-03-01,3171
2021-03-02,3775
2021-03-03,5280
2021-03-04,3715
2021-03-05,5035
2021-03-06,6422
2021-03-07,6063
2021-03-08,8439
2021-03-09,9814
2021-03-10,6975
2021-03-11,7134
2021-03-12,6742
2021-03-13,11991
2021-03-14,5082
2021-03-15,2045
2021-03-16,3948
2021-03-17,3502
2021-03-18,3423
2021-03-19,6196
2021-03-20,12093
2021-03-21,15691
2021-03-22,10509
2021-03-23,4933
2021-03-24,7647
2021-03-25,5703
2021-03-26,5736
2021-03-27,11946
2021-03-28,7103
2021-03-29,8363
2021-03-30,9192
2021-03-31,5964
2021-04-01,5068
2021-04-02,8511
2021-04-03,18410
2021-04-04,16464
2021-04-05,10644
2021-04-06,16101
2021-04-07,14622
2021-04-08,4964
2021-04-09,11403
2021-04-10,5104
2021-04-11,10272
2021-04-12,10257
2021-04-13,9363
2021-04-14,7676
2021-04-15,7948
2021-04-16,10149
2021-04-17,13075
2021-04-18,12458
2021-04-19,6175
2021-04-20,5864
2021-04-21,5955
2021-04-22,9931
2021-04-23,12250
2021-04-24,13955
2021-04-25,8270
2021-04-26,13262
2021-04-27,16875
2021-04-28,6163
2021-04-29,8830
2021-04-30,11052
2021-05-01,22342
2021-05-02,23373
2021-05-03,8983
2021-05-04,8349
2021-05-05,11260
2021-05-06,8506
2021-05-07,11905
2021-05-08,13789
2021-05-09,6560
2021-05-10,8342
2021-05-11,9912
2021-05-12,12106
2021-05-13,14910
2021-05-14,18284
2021-05-15,13919
2021-05-16,21668
2021-05-17,13605
2021-05-18,11213
2021-05-19,14217
2021-05-20,18305
2021-05-21,21997
2021-05-22,31702
2021-05-23,20146
2021-05-24,17853
2021-05-25,16881
2021-05-26,18209
2021-05-27,10374
