geohash,date,nb_rides
dp3sy,2021-03-10,1
dp3sy,2021-03-15,1
dp3sy,2021-03-20,1
dp3sy,2021-03-21,1
dp3sy,2021-03-22,2
dp3sy,2021-03-31,1
dp3sy,2021-04-04,1
dp3sy,2021-04-06,1
dp3sy,2021-04-07,1
dp3sy,2021-04-10,2
dp3sy,2021-04-18,1
dp3sy,2021-04-25,1
dp3sy,2021-04-27,1
dp3sy,2021-04-28,1
dp3sy,2021-04-29,1
dp3sy,2021-04-30,1
dp3sy,2021-05-01,2
dp3sy,2021-05-02,4
dp3sy,2021-05-03,2
dp3sy,2021-05-13,1
dp3sy,2021-05-14,2
dp3sy,2021-05-15,1
dp3sy,2021-05-16,3
dp3sy,2021-05-17,1
dp3sy,2021-05-18,1
dp3sy,2021-05-20,5
dp3sy,2021-05-21,1
dp3sy,2021-05-23,2
dp3sy,2021-05-25,2
dp3sy,2021-05-30,4
dp3sy,2021-05-31,1
dp3sy,2021-06-02,1
dp3sy,2021-06-08,4
dp3sy,2021-06-09,1
dp3sy,2021-06-11,2
dp3sy,2021-06-12,1
dp3sy,2021-06-13,1
dp3sy,2021-06-14,1
dp3sy,2021-06-17,7
dp3sy,2021-06-18,5
dp3sy,2021-06-19,1
dp3sy,2021-06-20,1
dp3sy,2021-06-22,1
dp3sy,2021-06-24,3
dp3sy,2021-06-25,1
dp3sy,2021-06-27,2
dp3sy,2021-06-28,2
dp3sy,2021-07-01,8
dp3sy,2021-07-06,3
dp3sy,2021-07-07,2
dp3sy,2021-07-08,5
dp3sy,2021-07-10,3
dp3sy,2021-07-13,3
dp3sy,2021-07-14,1
dp3sy,2021-07-15,2
dp3sy,2021-07-16,4
dp3sy,2021-07-17,2
dp3sy,2021-07-18,10
dp3sy,2021-07-19,12
dp3sy,2021-07-20,7
dp3sy,2021-07-21,2
dp3sy,2021-07-22,3
dp3sy,2021-07-23,3
dp3sy,2021-07-25,8
dp3sy,2021-07-26,1
dp3sy,2021-07-27,1
dp3sy,2021-07-28,3
dp3sy,2021-07-29,3
dp3sy,2021-07-30,2
dp3sy,2021-07-31,2
dp3sy,2021-08-01,1
dp3sy,2021-08-02,2
dp3sy,2021-08-03,2
dp3sy,2021-08-06,1
dp3sy,2021-08-07,2
dp3sy,2021-08-08,2
dp3sy,2021-08-09,2
dp3sy,2021-08-10,1
dp3sy,2021-08-11,1
dp3sy,2021-08-12,2
dp3sy,2021-08-13,1
dp3sy,2021-08-14,1
dp3sy,2021-08-15,4
dp3sy,2021-08-16,3
dp3sy,2021-08-18,1
dp3sy,2021-08-20,1
dp3sy,2021-08-23,2
dp3sy,2021-08-24,2
dp3sy,2021-09-01,2
dp3sy,2021-09-03,1
dp3sy,2021-09-07,1
dp3sy,2021-09-09,1
dp3sy,2021-09-10,2
dp3sy,2021-09-15,1
dp3sy,2021-09-16,2
dp3sy,2021-09-26,1
dp3sy,2021-09-29,2
dp3sy,2021-10-09,1
dp3sy,2021-10-12,2
dp3sy,2021-10-14,1
dp3sy,2021-10-15,2
dp3sy,2021-10-17,1
dp3sy,2021-10-21,1
dp3sy,2021-10-22,1
